"id","betfair_id"
"E14000530","1.164379951"
"E14000531","1.164381869"
"E14000532","1.164381870"
"E14000533","1.164381962"
"E14000534","1.164381964"
"E14000535","1.164381131"
"E14000536","1.164381975"
"E14000537","1.164381976"
"E14000538","1.164381978"
"E14000539","1.164381987"
"E14000540","1.164381988"
"E14000541","1.164381994"
"E14000542","1.164382088"
"E14000543","1.164382194"
"E14000544","1.164382353"
"E14000545","1.164382424"
"E14000546","1.164382442"
"E14000547","1.164382455"
"E14000548","1.164382643"
"E14000549","1.164382644"
"E14000550","1.164382646"
"E14000551","1.164382664"
"E14000552","1.164382666"
"E14000553","1.164382758"
"E14000554","1.164382759"
"E14000555","1.164382760"
"E14000556","1.164382761"
"E14000557","1.164382762"
"E14000558","1.164382764"
"E14000559","1.164382765"
"E14000560","1.164382894"
"E14000561","1.164383216"
"E14000562","1.164383218"
"E14000563","1.164383219"
"E14000564","1.164383221"
"E14000565","1.164383224"
"E14000566","1.164383245"
"E14000567","1.164383519"
"E14000568","1.164383702"
"E14000569","1.164381415"
"E14000570","1.164383703"
"E14000571","1.164383704"
"E14000572","1.164383705"
"E14000573","1.164383991"
"E14000574","1.164384346"
"E14000575","1.164384348"
"E14000576","1.164384349"
"E14000577","1.164385001"
"E14000578","1.164385002"
"E14000579","1.164385004"
"E14000580","1.164385279"
"E14000581","1.164385464"
"E14000582","1.164385465"
"E14000583","1.164385557"
"E14000584","1.164385558"
"E14000585","1.164385559"
"E14000586","1.164385651"
"E14000587","1.164385743"
"E14000588","1.164385744"
"E14000589","1.164385745"
"E14000590","1.164385746"
"E14000591","1.164385748"
"E14000592","1.164385749"
"E14000593","1.164385750"
"E14000594","1.164385751"
"E14000595","1.164385752"
"E14000596","1.164385935"
"E14000597","1.164386435"
"E14000598","1.164386436"
"E14000599","1.164386437"
"E14000600","1.164386439"
"E14000601","1.164386532"
"E14000602","1.164386551"
"E14000603","1.164386643"
"E14000604","1.164387291"
"E14000605","1.164387312"
"E14000606","1.164387313"
"E14000607","1.164387314"
"E14000608","1.164387315"
"E14000609","1.164387316"
"E14000610","1.164387317"
"E14000611","1.164387318"
"E14000612","1.164387320"
"E14000613","1.164387323"
"E14000614","1.164387325"
"E14000615","1.164387326"
"E14000616","1.164387327"
"E14000617","1.164387328"
"E14000618","1.164387373"
"E14000619","1.164387374"
"E14000620","1.164387375"
"E14000621","1.164387377"
"E14000622","1.164387378"
"E14000623","1.164387380"
"E14000624","1.164387381"
"E14000625","1.164387382"
"E14000626","1.164387477"
"E14000627","1.164387478"
"E14000628","1.164387479"
"E14000629","1.164387480"
"E14000630","1.164387481"
"E14000631","1.164391420"
"E14000632","1.164391427"
"E14000633","1.164391428"
"E14000634","1.164391628"
"E14000635","1.164391632"
"E14000636","1.164391634"
"E14000637","1.164391709"
"E14000638","1.164391841"
"E14000639","1.164391863"
"E14000640","1.164391867"
"E14000641","1.164392055"
"E14000642","1.164392100"
"E14000643","1.164392130"
"E14000644","1.164392403"
"E14000645","1.164392404"
"E14000646","1.164392405"
"E14000647","1.164392406"
"E14000648","1.164392407"
"E14000649","1.164392410"
"E14000650","1.164392414"
"E14000651","1.164392418"
"E14000652","1.164392438"
"E14000653","1.164392483"
"E14000654","1.164785705"
"E14000655","1.164784466"
"E14000656","1.164784536"
"E14000657","1.164784573"
"E14000658","1.164784575"
"E14000659","1.164784620"
"E14000660","1.164785581"
"E14000661","1.164785594"
"E14000662","1.164381132"
"E14000663","1.164393313"
"E14000664","1.164393405"
"E14000665","1.164393406"
"E14000666","1.164393407"
"E14000667","1.164393408"
"E14000668","1.164393410"
"E14000669","1.164394086"
"E14000670","1.164394088"
"E14000671","1.164394190"
"E14000672","1.164394213"
"E14000673","1.164394268"
"E14000674","1.164389575"
"E14000675","1.164394273"
"E14000676","1.164394284"
"E14000677","1.164394285"
"E14000678","1.164394335"
"E14000679","1.164394337"
"E14000680","1.164394338"
"E14000681","1.164394343"
"E14000682","1.164394344"
"E14000683","1.164394346"
"E14000684","1.164394347"
"E14000685","1.164394348"
"E14000686","1.164394349"
"E14000687","1.164394353"
"E14000688","1.164394355"
"E14000689","1.164394450"
"E14000690","1.164394454"
"E14000691","1.164394498"
"E14000692","1.164394502"
"E14000693","1.164394506"
"E14000694","1.164394508"
"E14000695","1.164394510"
"E14000696","1.164394512"
"E14000697","1.164394522"
"E14000698","1.164394525"
"E14000699","1.164394527"
"E14000700","1.164394531"
"E14000701","1.164394537"
"E14000702","1.164394569"
"E14000703","1.164394661"
"E14000704","1.164394666"
"E14000705","1.164394818"
"E14000706","1.164394952"
"E14000707","1.164395080"
"E14000708","1.164395208"
"E14000709","1.164395209"
"E14000710","1.164395212"
"E14000711","1.164395225"
"E14000712","1.164395229"
"E14000713","1.164395231"
"E14000714","1.164395234"
"E14000715","1.164395494"
"E14000716","1.164395496"
"E14000717","1.164395501"
"E14000718","1.164395503"
"E14000719","1.164395504"
"E14000720","1.164395508"
"E14000721","1.164396305"
"E14000722","1.164396869"
"E14000723","1.164381417"
"E14000724","1.164397775"
"E14000725","1.164398431"
"E14000726","1.164399086"
"E14000727","1.164399087"
"E14000728","1.164399091"
"E14000729","1.164399094"
"E14000730","1.164399328"
"E14000731","1.164399599"
"E14000732","1.164399826"
"E14000733","1.164381231"
"E14000734","1.164400280"
"E14000735","1.164400558"
"E14000736","1.164400568"
"E14000737","1.164400584"
"E14000738","1.164387720"
"E14000739","1.164400813"
"E14000740","1.164401056"
"E14000741","1.164401057"
"E14000742","1.164726300"
"E14000743","1.164726304"
"E14000744","1.164726305"
"E14000745","1.164726324"
"E14000746","1.164726325"
"E14000747","1.164726327"
"E14000748","1.164726328"
"E14000749","1.164726763"
"E14000750","1.164726981"
"E14000751","1.164726984"
"E14000752","1.164727001"
"E14000753","1.164727002"
"E14000754","1.164727003"
"E14000755","1.164727004"
"E14000756","1.164727005"
"E14000757","1.164727006"
"E14000758","1.164727007"
"E14000759","1.164727079"
"E14000760","1.164727134"
"E14000761","1.164727135"
"E14000762","1.164727136"
"E14000763","1.164727137"
"E14000764","1.164727139"
"E14000765","1.164727141"
"E14000766","1.164727160"
"E14000767","1.164727205"
"E14000768","1.164380207"
"E14000769","1.164423849"
"E14000770","1.164423850"
"E14000771","1.164423959"
"E14000772","1.164423962"
"E14000773","1.164423964"
"E14000774","1.164423966"
"E14000775","1.164423967"
"E14000776","1.164423968"
"E14000777","1.164423969"
"E14000778","1.164423988"
"E14000779","1.164424009"
"E14000780","1.164424011"
"E14000781","1.164424012"
"E14000782","1.164424013"
"E14000783","1.164424015"
"E14000784","1.164424016"
"E14000785","1.164424018"
"E14000786","1.164424021"
"E14000787","1.164424034"
"E14000788","1.164424116"
"E14000789","1.164424029"
"E14000790","1.164424135"
"E14000791","1.164424136"
"E14000792","1.164424139"
"E14000793","1.164424141"
"E14000794","1.164424143"
"E14000795","1.164424165"
"E14000796","1.164424220"
"E14000797","1.164424240"
"E14000798","1.164424242"
"E14000799","1.164424244"
"E14000800","1.164424245"
"E14000801","1.164424246"
"E14000802","1.164424249"
"E14000803","1.164424288"
"E14000804","1.164424311"
"E14000805","1.164424387"
"E14000806","1.164424393"
"E14000807","1.164424401"
"E14000808","1.164424406"
"E14000809","1.164424412"
"E14000810","1.164424416"
"E14000811","1.164424417"
"E14000812","1.164424418"
"E14000813","1.164424419"
"E14000814","1.164424420"
"E14000815","1.164424422"
"E14000816","1.164424424"
"E14000817","1.164424427"
"E14000818","1.164424428"
"E14000819","1.164424429"
"E14000820","1.164424430"
"E14000821","1.164424431"
"E14000822","1.164424432"
"E14000823","1.164424434"
"E14000824","1.164424450"
"E14000825","1.164424456"
"E14000826","1.164424457"
"E14000827","1.164424476"
"E14000828","1.164424477"
"E14000829","1.164424478"
"E14000830","1.164424480"
"E14000831","1.164424482"
"E14000832","1.164424483"
"E14000833","1.164424484"
"E14000834","1.164424481"
"E14000835","1.164424486"
"E14000836","1.164424487"
"E14000837","1.164424488"
"E14000838","1.164424489"
"E14000839","1.164424491"
"E14000840","1.164424493"
"E14000841","1.164424495"
"E14000842","1.164424496"
"E14000843","1.164424497"
"E14000844","1.164424626"
"E14000845","1.164424627"
"E14000846","1.164424628"
"E14000847","1.164424629"
"E14000848","1.164424630"
"E14000849","1.164424631"
"E14000850","1.164424633"
"E14000851","1.164424634"
"E14000852","1.164424635"
"E14000853","1.164424636"
"E14000854","1.164424637"
"E14000855","1.164424639"
"E14000856","1.164424643"
"E14000857","1.164424644"
"E14000858","1.164424659"
"E14000859","1.164424691"
"E14000860","1.164424692"
"E14000861","1.164424694"
"E14000862","1.164424696"
"E14000863","1.164424697"
"E14000864","1.164425267"
"E14000865","1.164425276"
"E14000866","1.164425279"
"E14000867","1.164425283"
"E14000868","1.164425285"
"E14000869","1.164425378"
"E14000870","1.164425384"
"E14000871","1.164425385"
"E14000872","1.164425493"
"E14000873","1.164425513"
"E14000874","1.164425514"
"E14000875","1.164425518"
"E14000876","1.164425566"
"E14000877","1.164425567"
"E14000878","1.164425612"
"E14000879","1.164425614"
"E14000880","1.164425617"
"E14000881","1.164425618"
"E14000882","1.164425716"
"E14000883","1.164425718"
"E14000884","1.164381232"
"E14000885","1.164425722"
"E14000886","1.164425726"
"E14000887","1.164381054"
"E14000888","1.164425729"
"E14000889","1.164425732"
"E14000890","1.164425733"
"E14000891","1.164425826"
"E14000892","1.164425829"
"E14000893","1.164425865"
"E14000894","1.164425957"
"E14000895","1.164425960"
"E14000896","1.164425963"
"E14000897","1.164425964"
"E14000898","1.164425965"
"E14000899","1.164426151"
"E14000900","1.164426152"
"E14000901","1.164426154"
"E14000902","1.164426156"
"E14000903","1.164426157"
"E14000904","1.164426203"
"E14000905","1.164426205"
"E14000906","1.164426227"
"E14000907","1.164426228"
"E14000908","1.164426229"
"E14000909","1.164426266"
"E14000910","1.164426306"
"E14000911","1.164426317"
"E14000912","1.164426313"
"E14000913","1.164426318"
"E14000914","1.164426320"
"E14000915","1.164426449"
"E14000916","1.164426453"
"E14000917","1.164426606"
"E14000918","1.164426612"
"E14000919","1.164426722"
"E14000920","1.164426739"
"E14000921","1.164426613"
"E14000922","1.164426725"
"E14000923","1.164426736"
"E14000924","1.164426926"
"E14000925","1.164426929"
"E14000926","1.164426931"
"E14000927","1.164427093"
"E14000928","1.164427318"
"E14000929","1.164427787"
"E14000930","1.164428026"
"E14000931","1.164428146"
"E14000932","1.164428150"
"E14000933","1.164428151"
"E14000934","1.164428152"
"E14000935","1.164428154"
"E14000936","1.164428155"
"E14000937","1.164428175"
"E14000938","1.164428176"
"E14000939","1.164428177"
"E14000940","1.164428180"
"E14000941","1.164429588"
"E14000942","1.164429625"
"E14000943","1.164429645"
"E14000944","1.164429647"
"E14000945","1.164429684"
"E14000946","1.164429685"
"E14000947",NA
"E14000948","1.164429688"
"E14000949","1.164429689"
"E14000950","1.164429690"
"E14000951","1.164429727"
"E14000952","1.164429764"
"E14000953","1.164429768"
"E14000954","1.164429775"
"E14000955","1.164429791"
"E14000956","1.164429816"
"E14000957","1.164429829"
"E14000958","1.164429873"
"E14000959","1.164429874"
"E14000960","1.164387683"
"E14000961","1.164429887"
"E14000962","1.164429888"
"E14000963","1.164429889"
"E14000964","1.164429890"
"E14000965","1.164429920"
"E14000966","1.164429921"
"E14000967","1.164429922"
"E14000968","1.164429955"
"E14000969","1.164429957"
"E14000970","1.164429983"
"E14000971","1.164430075"
"E14000972","1.164381418"
"E14000973","1.164430076"
"E14000974","1.164430079"
"E14000975","1.164430176"
"E14000976","1.164430181"
"E14000977","1.164430219"
"E14000978","1.164430267"
"E14000979","1.164430317"
"E14000980","1.164430451"
"E14000981","1.164430624"
"E14000982","1.164430628"
"E14000983","1.164430646"
"E14000984","1.164430651"
"E14000985","1.164430659"
"E14000986","1.164430660"
"E14000987","1.164430691"
"E14000988","1.164430693"
"E14000989","1.164430694"
"E14000990","1.164430695"
"E14000991","1.164430712"
"E14000992","1.164430714"
"E14000993","1.164430715"
"E14000994","1.164430744"
"E14000995","1.164430745"
"E14000996","1.164430747"
"E14000997","1.164430751"
"E14000998","1.164430752"
"E14000999","1.164430754"
"E14001000","1.164430756"
"E14001001","1.164430757"
"E14001002","1.164430765"
"E14001003","1.164430768"
"E14001004","1.164430822"
"E14001005","1.164430824"
"E14001006","1.164430837"
"E14001007","1.164381130"
"E14001008","1.164430864"
"E14001009","1.164381416"
"E14001010","1.164430865"
"E14001011","1.164430866"
"E14001012","1.164430868"
"E14001013","1.164430869"
"E14001014","1.164430870"
"E14001015","1.164430871"
"E14001016","1.164430873"
"E14001017","1.164430876"
"E14001018","1.164430877"
"E14001019","1.164430881"
"E14001020","1.164430886"
"E14001021","1.164381129"
"E14001022","1.164430890"
"E14001023","1.164431017"
"E14001024","1.164431051"
"E14001025","1.164431306"
"E14001026","1.164431307"
"E14001027","1.164431309"
"E14001028","1.164431311"
"E14001029","1.164381134"
"E14001030","1.164431315"
"E14001031","1.164431317"
"E14001032","1.164431318"
"E14001033","1.164431319"
"E14001034","1.164431320"
"E14001035","1.164431322"
"E14001036","1.164431323"
"E14001037","1.164431324"
"E14001038","1.164431325"
"E14001039","1.164431326"
"E14001040","1.164431327"
"E14001041","1.164387572"
"E14001042","1.164431329"
"E14001043","1.164431330"
"E14001044","1.164431365"
"E14001045","1.164431400"
"E14001046","1.164431401"
"E14001047","1.164431403"
"E14001048","1.164431404"
"E14001049","1.164431405"
"E14001050","1.164431433"
"E14001051","1.164431452"
"E14001052","1.164431470"
"E14001053","1.164431472"
"E14001054","1.164431473"
"E14001055","1.164431474"
"E14001056","1.164431876"
"E14001057","1.164431879"
"E14001058","1.164431881"
"E14001059","1.164431882"
"E14001060","1.164431891"
"E14001061","1.164431892"
"E14001062","1.164431894"
"N06000001","1.164786701"
"N06000002","1.164786710"
"N06000003","1.164786717"
"N06000004","1.164786746"
"N06000005","1.164786747"
"N06000006","1.164786751"
"N06000007","1.164786754"
"N06000008","1.164787172"
"N06000009","1.164787173"
"N06000010","1.164787176"
"N06000011","1.164787177"
"N06000012","1.164787287"
"N06000013","1.164787290"
"N06000014","1.164787319"
"N06000015","1.164787320"
"N06000016","1.164787321"
"N06000017","1.164787322"
"N06000018","1.164787323"
"S14000001","1.164617010"
"S14000002","1.164784270"
"S14000003","1.164617906"
"S14000004","1.164784327"
"S14000005","1.164617911"
"S14000006","1.164784328"
"S14000007","1.165270051"
"S14000008","1.164784329"
"S14000009","1.164784330"
"S14000010","1.164617915"
"S14000011","1.164784332"
"S14000012","1.164617952"
"S14000013","1.164784335"
"S14000014","1.164784337"
"S14000015","1.164617954"
"S14000016","1.164617956"
"S14000017","1.164617960"
"S14000018","1.164784339"
"S14000019","1.164618057"
"S14000020","1.164784341"
"S14000021","1.164784361"
"S14000022","1.164618062"
"S14000023","1.164618097"
"S14000024","1.164784383"
"S14000025","1.165504202"
"S14000026","1.164784387"
"S14000027","1.164784585"
"S14000028","1.164784389"
"S14000029","1.165270052"
"S14000030","1.164784391"
"S14000031","1.164784459"
"S14000032","1.164784460"
"S14000033","1.165270053"
"S14000034","1.164784462"
"S14000035","1.164784463"
"S14000036","1.164784464"
"S14000037","1.164784465"
"S14000038","1.164784487"
"S14000039","1.164784490"
"S14000040","1.164784498"
"S14000041","1.164784529"
"S14000042","1.164784530"
"S14000043","1.164784539"
"S14000044","1.164784547"
"S14000045","1.164784572"
"S14000046","1.164784574"
"S14000047","1.164784577"
"S14000048","1.164784591"
"S14000049","1.164784622"
"S14000050","1.164785235"
"S14000051","1.164785957"
"S14000052","1.164786342"
"S14000053","1.164786361"
"S14000054","1.164786380"
"S14000055","1.164786564"
"S14000056","1.164786566"
"S14000057","1.164786567"
"S14000058","1.164786568"
"S14000059","1.164786569"
"W07000041","1.164791178"
"W07000042","1.165007165"
"W07000043","1.164787487"
"W07000044","1.165118211"
"W07000045","1.164790857"
"W07000046","1.165007372"
"W07000047","1.165117978"
"W07000048","1.165117421"
"W07000049","1.164787348"
"W07000050","1.164790852"
"W07000051","1.164790853"
"W07000052","1.165117417"
"W07000053","1.165118186"
"W07000054","1.165008499"
"W07000055","1.165008501"
"W07000056","1.165117091"
"W07000057","1.164787489"
"W07000058","1.164787486"
"W07000059","1.165006395"
"W07000060","1.165118209"
"W07000061","1.164790856"
"W07000062","1.165006392"
"W07000063","1.164791174"
"W07000064","1.165006391"
"W07000065","1.165117189"
"W07000066","1.164790855"
"W07000067","1.165006111"
"W07000068","1.164789774"
"W07000069","1.165008500"
"W07000070","1.165006396"
"W07000071","1.165008498"
"W07000072","1.164787490"
"W07000073","1.164789775"
"W07000074","1.165008502"
"W07000075","1.164791175"
"W07000076","1.164790724"
"W07000077","1.165007378"
"W07000078","1.164791177"
"W07000079","1.165006113"
"W07000080","1.165006295"
